Item,INR,USD,Link
Display,543,6.24137931,https://roboticsdna.in/product/2-8-inch-spi-screen-module-tft-interface-240-x-320-without-touch/
Push Switch,28,0.3218390805,https://roboticsdna.in/product/12x12x15mm-dip-tactile-push-button-switch-5pcs/
AD8232 (ECG),305,3.505747126,https://roboticsdna.in/product/ad8232-heart-ecg-monitoring-sensor-module-kit-for-arduino/
ECG electrode (pack of 5 ),52.54,0.603908046,https://roboticsdna.in/product/ecg-gel-electrode-3m/
Battery holder,17,0.1954022989,https://roboticsdna.in/product/black-plastic-storage-box-case-holder-for-battery-2-x-18650-cell-box-without-cover/
Screw,40,0.4597701149,https://roboticsdna.in/product/6-x-9-5mm-ss-self-tapping-pan-screw-25-pieces/
ESP 32 Wroom,328,3.770114943,https://roboticsdna.in/product/node-mcu-esp8266-32/
Li Ion Cell,120,1.379310345,https://roboticsdna.in/product/3-7v-2500mah-18650-lithium-ion-cell/
TP4056,30,0.3448275862,https://roboticsdna.in/product/tp4056-module-1-2-a-li-ion-battery-charging-board-micro-usb-with-current-protection/
Taxes,260,2.988505747,
3D Case,0,0,Printing Legion ( ill get my stuff along with other)
Misc,300,3.448275862,
Total ,2023.54,23.25908046,
